AREA DEM REP OTH
AREA DEM REP OTH
AK-1 116,322 120,462 4,915
MN-5 214,220 70,699 3,274
MN-6 120,847 198,144 770
MN-7 84,447 204,775 16,645
MN-8 141,007 188,761 317
MO-1 160,042 53,572 6,166
MO-2 135,639 173,035 6,486
MO-3 96,465 180,358 231
MO-4 66,671 181,023 6,191
MO-5 139,882 83,794 5,830
MO-6 71,939 184,070 5,745
MO-7 67,082 177,957 5,993
MO-8 53,661 186,259 5,175
MS-1 43,711 114,797 
MS-2 101,154 68,427 
MS-3 51,628 126,081 
MS-4 39,292 122,128 3,416
MT-1 115,158 122,631 9,558
MT-2 43,471 121,942 50,202
NC-1 133,882 122,229 0
NC-2 186,303 102,840 0
NC-3 81,503 165,690 0
NC-4 191,980 95,811 0
NC-5 100,563 174,154 0
NC-6 138,104 116,076 2,770
NC-7 116,640 159,982 0
NC-8 77,897 182,666 0
NC-9 99,848 130,762 0
NC-10 72,359 194,001 0
NC-11 143,814 173,933 5,479
NC-12 139,667 83,056 0
NC-13 140,531 133,291 0
NC-14 148,388 108,767 0
ND-1 0 147,980 89,919
NE-1 91,919 127,623 
NE-2 104,868 111,388 
NE-3 34,703 171,967 12,915
NH-1 167,391 142,229 342
NH-2 171,636 135,579 369
NJ-1 136,199 77,458 5,388
NJ-2 90,753 135,843 2,642
NJ-3 124,913 99,512 1,993
NJ-4 79,377 170,423 4,354
NJ-5 141,039 115,906 2,465
NJ-6 101,930 73,717 2,703
NJ-7 145,253 156,414 
NJ-8 74,049 24,073 2,977
NJ-9 78,520 63,726 2,052
NJ-10 95,531 25,440 2,850
NJ-11 149,054 105,518 2,130
NJ-12 95,728 61,065 1,507
NM-1 156,187 123,984 32
NM-2 96,870 95,560 27
NM-3 133,944 96,505 0
NV-1 114,916 102,355 5,502
NV-2 115,186 181,689 7,427
NV-3 130,237 120,102 
NV-4 115,836 105,037 
NY-1 136,899 173,275 298
NY-2 95,203 148,649 317
NY-3 120,737 142,472 93
NY-4 128,783 138,831 66
NY-5 97,981 32,393 154
NY-6 79,506 46,188 117
NY-7 111,968 27,142 216
NY-8 93,295 35,486 173
NY-9 111,162  24,483
NY-10 149,261 27,230 2,541
NY-11 69,241 113,485 295
NY-12 186,357 41,264 965
NY-13 109,014 0 1,203
NY-14 78,788 30,661 2,349
NY-15 72,610 15,265 160
NY-16 131,185 73,238 237
NY-17 139,082 141,721 152
NY-18 131,474 129,403 148
NY-19 136,071 142,354 98
NY-20 157,913 129,470 143
NY-21 113,255 165,634 97
NY-22 128,837 132,762 152
NY-23 101,643 189,022 218
NY-24 91,703 177,901 164
NY-25 148,681 128,502 125
NY-26 152,576 86,805 146
OH-1 151,418 137,213 
OH-2 64,329 188,300 
OH-3 174,846 74,335 15
OH-4 87,144 196,898 
OH-5 90,614 184,205 
OH-6 89,086 186,965 
OH-7 132,548 164,904 84
OH-8 95,829 177,132 
OH-9 147,512 113,363 
OH-10 98,383 161,792 
OH-11 162,154 46,862 
OH-12 82,101 187,322 
OH-13 146,621 132,181 
OH-14 111,155 180,251 
OH-15 104,613 140,012 
OK-1 80,974 142,800 9,721
OK-2 54,194 167,843 9,635
OK-3 50,354 147,418 
OK-4 74,667 149,879 
OK-5 96,799 152,699 9,328
OR-1 195,687 92,286 529
OR-2 97,162 202,772 470
OR-3 208,341 77,592 11,186
OR-4 165,603 139,324 20,167
OR-5 161,164 168,088 889
OR-6 135,729 131,675 6,744
PA-1 163,851 200,154 0
PA-2 137,348 44,926 0
PA-3 243,665 0 12,272
PA-4 222,114 141,368 0
PA-5 202,271 109,574 0
PA-6 189,782 135,909 0
PA-7 151,301 145,510 0
PA-8 145,318 138,215 0
PA-9 92,076 207,993 0
PA-10 144,152 168,796 0
PA-11 121,078 194,388 0
PA-12 181,281 143,065 0
PA-13 0 260,173 
PA-14 0 230,461 
PA-15 91,325 213,238 0
PA-16 129,972 190,022 0
PA-17 190,763 168,061 0
RI-1 100,318 56,055 361
RI-2 101,432 93,969 5,688
SC-1 115,796 153,757 3,128
SC-2 98,081 147,699 346
SC-3  189,971 4,598
SC-4  165,607 16,758
SC-5 83,299 154,725 3,683
SC-6 130,923 79,879 226
SC-7 89,030 164,440 395
SD-1 0 253,821 74,002
TN-1 37,032 147,153 3,711
TN-2 66,637 141,041 
TN-3 60,230 135,934 2,841
TN-4 44,628 122,336 6,384
TN-5 93,375 123,358 4,054
TN-6 65,598 129,311 
TN-7 68,897 108,358 3,423
TN-8 51,083 155,556 3,611
TN-9 93,755 35,112 4,992
TX-1 51,288 183,005 
TX-2 78,216 151,369 
TX-3 99,758 163,929 6,890
TX-4 78,865 170,466 6,035
TX-5 71,770 135,987 4,297
TX-6 0 149,107 
TX-7 115,390 65,593 
TX-8 68,485 152,797 3,116
TX-9 124,893 38,019 
TX-10 86,123 158,784 6,051
TX-11 0 145,024 
TX-12 84,879 152,732 
TX-13 52,739 161,562 
TX-14 68,386 149,317 
TX-15 67,913 80,869 2,808
TX-16 94,266 54,697 
TX-17 72,647 144,183 
TX-18 109,968 40,761 4,797
TX-19 0 152,042 37,158
TX-20 114,822 53,059 18
TX-21 121,936 206,786 
TX-22 85,440 149,757 5,602
TX-23 80,430 116,172 11,123
TX-24 119,097 177,121 
TX-25 0 184,850 
TX-26  183,379 81,208
TX-27 73,370 133,286 
TX-28 93,393 71,564 
TX-29 71,379 28,635 
TX-30 134,011 39,022 6,121
TX-31  182,704 
TX-32 115,350 61,232 
TX-33 81,764 29,099 2,736
TX-34 70,759 59,404 4,076
TX-35 129,084 48,831 
TX-36 63,697 145,142 
TX-37 219,149 59,879 6,370
TX-38 91,768 162,992 3,953
UT-1 85,462 175,413 
UT-2 86,168 152,043 15,987
UT-3 81,001 178,215 16,575
UT-4 8,521 152,266 16,361
VA-1 147,199 192,153 3,693
VA-2 143,204 153,323 449
VA-3 139,659 67,668 523
VA-4 156,723 85,259 448
VA-5 129,753 176,593 621
VA-6 95,444 173,394 473
VA-7 143,315 130,535 647
VA-8 197,760 66,589 4,596
VA-9 65,955 182,143 565
VA-10 157,398 138,158 577
VA-11 193,190 95,634 852
VT-1 176,494 78,397 27,675
WA-1 178,967 102,898 352
WA-2 196,197 128,276 569
WA-3 158,689 155,610 1,775
WA-4 66,910 142,948 4,890
WA-5 117,659 171,682 666
WA-6 197,163 126,902 347
WA-7 287,276 48,110 1,444
WA-8 176,342 154,306 1,076
WA-9 167,952 66,636 480
WA-10 144,904 109,843 399
WI-1 135,788 162,562 2,247
WI-2 268,661 101,855 7,682
WI-3 152,940 164,661 0
WI-4 192,226 57,660 5,165
WI-5 134,558 243,718 
WI-6  239,217 
WI-7 128,879 209,269 
WI-8  223,779 80,738
WV-1 65,424 151,497 10,256
WV-2 84,256 160,450 0
WY-1 47,250 132,206 14,446
