AREA DEM REP OTH
AREA DEM REP OTH
WY 87210.26587658002 180223.93412342 0
WV 297961.14017964003 486001.50804215996 0
VA 2431269.8049045 1715076.9195727997 76466.19106644
TX 4693801.67 5381329.76 224868.87900000002
TN 1034166.186109 1638468.7821236 106459.05955834
SD 156363.28139067997 248381.31860932 0
SC 1136826.6899326 1255305.9130352 0
RI 357404.70410832 123518.09589167999 0
OR 1261839.5767168 746007.9372328 80256.6948608
OK 614046.4566024 951552.4451178 45515.13050208001
NM 476031.71793936 386110.83978752 0
NJ 2511799.5160482 1457489.2097681998 98894.23350177
NH 454877.64241416 320781.47743040003 0
NE 273909.77277471 551471.64749619 0
NC 2655642.7066885997 2458576.5876276 113206.81023232
MT 282998.75235101994 299690.94764897996 0
MS 651057.9498990001 719299.113309 0
MN 1655640.6776448 1369517.7240888 85245.66047448
MI 2759509.393017 2338794.7396635003 125311.1807364
ME 419515.0984832 403657.5015168 0
MA 2255178.656682 1067165.8967235 96140.2414854
LA 354624.41471050004 853796.3046374999 142444.56488664998
KY 939640.6133839999 1163722.3246 0
KS 605957.5807506 669902.668812 0
IL 3500935.2841076 2076235.6404848 296914.7817033
ID 267221.81260136 439458.34941157006 48817.077547286004
IA 837461.6056996 838732.7007976 39183.81357926
GA-2 1491640.607814 985293.837771 831085.121295
GA 2289023.7510266 2266204.9519578 0
DE 302418.09795504005 154558.95631728 13869.331602288
CO 1535648.207058 1294500.330641 128786.43271164998
AZ 1549116.8649495 1380128.1350505 0
AR 0 806177.2099744 0
AL 1076334.4463850001 1267035.5536149999 0
AK 160622.46972975 176084.04764265 17827.403899634002
