AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 98455 102479 0 0 0 0 0
AL-2 75506 118153 2156 0 0 0 0
AL-3 120357 NA 4745 0 0 0 0
AL-4 120106 NA 0 0 0 0 0
AL-5 140542 NA 6033 0 0 0 0
AL-6 130973 87550 1187 0 0 0 0
AL-7 135834 NA 4498 0 0 0 0
AK-1 86052 113582 6508 0 0 0 0
AZ-1 45609 162418 0 0 0 0 0
AZ-2 106332 NA 14869 0 0 0 0
AZ-3 57748 156686 3894 0 0 0 0
AZ-4 NA 167558 0 0 0 0 0
AZ-5 109871 116075 1992 0 0 0 0
AR-1 121047 NA 0 0 0 0 0
AR-2 103165 90841 25073 0 0 0 0
AR-3 NA 1 0 0 0 0 0
AR-4 117123 NA 0 0 0 0 0
CA-1 157037 95186 0 0 0 0 0
CA-2 69793 158679 0 0 0 0 0
CA-3 131369 NA 0 0 0 0 0
CA-4 130109 77773 4039 0 0 0 0
CA-5 139692 45930 7582 0 0 0 0
CA-6 162511 71011 5574 0 0 0 0
CA-7 158306 78985 0 0 0 0 0
CA-8 144316 94907 0 0 0 0 0
CA-9 136511 51399 7398 0 0 0 0
CA-10 102469 56256 5452 0 0 0 0
CA-11 147607 59625 3883 0 0 0 0
CA-12 91026 155795 5872 0 0 0 0
CA-13 139851 70666 3836 0 0 0 0
CA-14 58384 179238 6850 0 0 0 0
CA-15 109590 54730 3086 0 0 0 0
CA-16 153377 60065 3245 0 0 0 0
CA-17 48888 128802 0 0 0 0 0
CA-18 128186 62339 0 0 0 0 0
CA-19 70278 153187 4161 0 0 0 0
CA-20 62307 151732 0 0 0 0 0
CA-21 62085 173504 4379 0 0 0 0
CA-22 NA 184981 32036 0 0 0 0
CA-23 140461 84093 3580 0 0 0 0
CA-24 97340 51010 5257 0 0 0 0
CA-25 74261 24968 4370 0 0 0 0
CA-26 117080 69372 0 0 0 0 0
CA-27 116933 88896 6952 0 0 0 0
CA-28 113076 33511 2930 0 0 0 0
CA-29 108777 16781 0 0 0 0 0
CA-30 64378 53900 6055 0 0 0 0
CA-31 100658 41691 0 0 0 0 0
CA-32 102961 62176 4568 0 0 0 0
CA-33 54147 147363 7109 0 0 0 0
CA-34 87060 58467 0 0 0 0 0
CA-35 NA 176477 29990 0 0 0 0
CA-36 104438 80212 0 0 0 0 0
CA-37 85908 149955 0 0 0 0 0
CA-38 73231 86545 3021 0 0 0 0
CA-39 54889 175788 0 0 0 0 0
CA-40 86748 164257 3969 0 0 0 0
CA-41 85475 161068 7303 0 0 0 0
CA-42 60025 177783 5811 0 0 0 0
CA-43 50996 165643 6878 0 0 0 0
CA-44 99378 39977 3206 0 0 0 0
CA-45 45325 149011 3971 0 0 0 0
CO-1 126348 73993 3532 0 0 0 0
CO-2 118580 101488 2791 0 0 0 0
CO-3 90063 122669 2238 0 0 0 0
CO-4 56462 146469 2999 0 0 0 0
CO-5 44588 163654 0 0 0 0 0
CO-6 NA 171427 20333 0 0 0 0
CT-1 147748 90823 791 0 0 0 0
CT-2 124110 103119 1024 0 0 0 0
CT-3 129230 115939 626 0 0 0 0
CT-4 69666 165644 0 0 0 0 0
CT-5 109425 130700 532 0 0 0 0
CT-6 87489 155422 0 0 0 0 0
DE-1 142070 100650 294 0 0 0 0
FL-1 1 NA 0 0 0 0 0
FL-2 1 NA 0 0 0 0 0
FL-3 1 NA 0 0 0 0 0
FL-4 134694 73218 0 0 0 0 0
FL-5 NA 1 0 0 0 0 0
FL-6 167409 NA 0 0 0 0 0
FL-7 100430 70280 0 0 0 0 0
FL-8 45393 184553 0 0 0 0 0
FL-9 52150 191343 0 0 0 0 0
FL-10 77635 126206 0 0 0 0 0
FL-11 145764 95115 0 0 0 0 0
FL-12 NA 1 0 0 0 0 0
FL-13 NA 1 0 0 0 0 0
FL-14 153935 123926 0 0 0 0 0
FL-15 66833 128097 0 0 0 0 0
FL-16 108410 83903 0 0 0 0 0
FL-17 1 NA 0 0 0 0 0
FL-18 76404 49818 0 0 0 0 0
FL-19 115631 64317 0 0 0 0 0
GA-1 126082 28460 0 0 0 0 0
GA-2 110561 NA 0 0 0 0 0
GA-3 111061 25410 0 0 0 0 0
GA-4 106376 120456 0 0 0 0 0
GA-5 151233 NA 0 0 0 0 0
GA-6 52061 116655 0 0 0 0 0
GA-7 106586 86431 0 0 0 0 0
GA-8 100936 NA 0 0 0 0 0
GA-9 109422 52731 0 0 0 0 0
GA-10 116364 NA 0 0 0 0 0
HI-1 114884 20608 3373 0 0 0 0
HI-2 112377 20000 4364 0 0 0 0
ID-1 63591 139085 0 0 0 0 0
ID-2 101266 101133 0 0 0 0 0
IL-1 177438 NA 8086 0 0 0 0
IL-2 155349 31865 0 0 0 0 0
IL-3 143363 79218 0 0 0 0 0
IL-4 68547 121744 0 0 0 0 0
IL-5 106597 61109 0 0 0 0 0
IL-6 52189 157370 0 0 0 0 0
IL-7 135493 37411 0 0 0 0 0
IL-8 114385 46030 0 0 0 0 0
IL-9 144879 69613 0 0 0 0 0
IL-10 57809 153330 0 0 0 0 0
IL-11 138171 82518 0 0 0 0 0
IL-12 45537 159582 0 0 0 0 0
IL-13 77623 157603 0 0 0 0 0
IL-14 82756 135967 0 0 0 0 0
IL-15 54516 149096 0 0 0 0 0
IL-16 90850 127684 0 0 0 0 0
IL-17 128273 98069 0 0 0 0 0
IL-18 86884 136183 0 0 0 0 0
IL-19 117634 107463 0 0 0 0 0
IL-20 145092 91728 0 0 0 0 0
IL-21 127046 84148 0 0 0 0 0
IL-22 116952 115775 0 0 0 0 0
IN-1 147035 59986 943 0 0 0 0
IN-2 118965 103061 637 0 0 0 0
IN-3 103961 115139 652 0 0 0 0
IN-4 82053 129674 1392 0 0 0 0
IN-5 66631 143560 1164 0 0 0 0
IN-6 65772 178814 1278 0 0 0 0
IN-7 69097 147787 2810 0 0 0 0
IN-8 116645 116641 806 0 0 0 0
IN-9 137018 72652 670 0 0 0 0
IN-10 115274 79342 877 0 0 0 0
IA-1 65293 131182 0 0 0 0 0
IA-2 77335 136893 0 0 0 0 0
IA-3 86574 133737 0 0 0 0 0
IA-4 136922 88717 0 0 0 0 0
IA-5 101435 104632 0 0 0 0 0
IA-6 127706 78182 0 0 0 0 0
KS-1 49015 159931 1816 0 0 0 0
KS-2 112263 73045 1744 0 0 0 0
KS-3 85441 117159 11302 0 0 0 0
KS-4 138917 47776 0 0 0 0 0
KS-5 49435 144075 2382 0 0 0 0
KY-1 112180 NA 0 0 0 0 0
KY-2 93042 56700 0 0 0 0 0
KY-3 145680 68185 1273 0 0 0 0
KY-4 93640 108398 0 0 0 0 0
KY-5 39783 125164 0 0 0 0 0
KY-6 49657 126525 926 0 0 0 0
KY-7 122679 43890 0 0 0 0 0
LA-1 NA 1 0 0 0 0 0
LA-2 1 NA 0 0 0 0 0
LA-3 1 NA 0 0 0 0 0
LA-4 1 NA 0 0 0 0 0
LA-5 1 NA 0 0 0 0 0
LA-6 NA 1 0 0 0 0 0
LA-7 1 NA 0 0 0 0 0
LA-8 1 NA 0 0 0 0 0
ME-1 104972 182785 0 0 0 0 0
ME-2 57347 192166 4242 0 0 0 0
MD-1 96673 68865 0 0 0 0 0
MD-2 105571 111517 0 0 0 0 0
MD-3 133189 59493 2579 0 0 0 0
MD-4 58312 114430 0 0 0 0 0
MD-5 116310 44839 0 0 0 0 0
MD-6 123383 66056 0 0 0 0 0
MD-7 139488 NA 0 0 0 0 0
MD-8 181947 70715 1903 0 0 0 0
MA-1 60372 162646 0 0 0 0 0
MA-2 132693 60463 0 0 0 0 0
MA-3 148461 71765 0 0 0 0 0
MA-4 172903 60121 0 0 0 0 0
MA-5 120008 104912 0 0 0 0 0
MA-6 168662 63363 7615 0 0 0 0
MA-7 167211 66930 0 0 0 0 0
MA-8 179617 NA 15810 0 0 0 0
MA-9 153132 NA 0 0 0 0 0
MA-10 143062 113745 0 0 0 0 0
MA-11 172010 NA 0 0 0 0 0
MI-1 152432 17393 685 0 0 0 0
MI-2 62374 140688 2065 0 0 0 0
MI-3 106505 94714 0 0 0 0 0
MI-4 63159 127907 0 0 0 0 0
MI-5 85232 140131 1312 0 0 0 0
MI-6 106705 95113 1709 0 0 0 0
MI-7 145070 NA 10663 0 0 0 0
MI-8 126161 69683 0 0 0 0 0
MI-9 61233 150885 680 0 0 0 0
MI-10 103636 104950 1054 0 0 0 0
MI-11 89640 126992 0 0 0 0 0
MI-12 113772 79824 1388 0 0 0 0
MI-13 132222 20416 0 0 0 0 0
MI-14 113610 77427 1105 0 0 0 0
MI-15 98973 66172 0 0 0 0 0
MI-16 121463 68116 1042 0 0 0 0
MI-17 133064 NA 0 0 0 0 0
MI-18 46191 186505 2188 0 0 0 0
MN-1 140095 105723 0 0 0 0 0
MN-2 89770 153308 0 0 0 0 0
MN-3 76132 207819 0 0 0 0 0
MN-4 167678 57450 2919 0 0 0 0
MN-5 165075 62642 7725 0 0 0 0
MN-6 154603 101058 0 0 0 0 0
MN-7 101720 135087 0 0 0 0 0
MN-8 165727 79181 1560 0 0 0 0
MS-1 136530 NA 17991 0 0 0 0
MS-2 89154 92392 874 0 0 0 0
MS-3 158002 NA 0 0 0 0 0
MS-4 113635 91797 0 0 0 0 0
MS-5 25840 142637 0 0 0 0 0
MO-1 147436 68538 0 0 0 0 0
MO-2 139123 127710 1783 0 0 0 0
MO-3 193537 NA 0 0 0 0 0
MO-4 150624 74434 0 0 0 0 0
