AREA DEM REP OTH
AREA Obama Romney OTH
AL 795696 1255925 4011
AK 122640 164676 13179
AZ 1025232 1233654 40368
AR 394409 647744 27315
CA 7854285 4839958 344304
CO 1323101 1185243 61172
CT 905083 634892 13258
DE 242584 165484 5822
DC 267070 21381 5313
FL 4237756 4163447 72976
GA 1773827 2078688 45324
HI 306658 121015 9486
ID 212787 420911 11675
IL 3019512 2135216 87286
IN 1152887 1420543 51104
IA 822544 730617 27992
KS 440726 692634 26611
KY 679370 1087190 30652
LA 809141 1152262 32662
ME 401306 292276 31176
MD 1677844 971869 57614
MA 1921290 1188314 74592
MI 2564569 2115256 51136
MN 1546167 1320225 70169
MS 562949 710746 11889
MO 1223796 1482440 51087
MT 201839 267928 14281
NE 302081 475064 14826
NV 531373 463567 19978
NH 369561 329918 11493
NJ 2122786 1478088 37625
NM 415335 335788 31461
NY 4324228 2223397 569159
NC 2178391 2270395 56586
ND 124966 188320 9646
OH 2827621 2661407 91794
OK 443547 891325 0
OR 970488 754175 64607
PA 2990274 2680434 71332
RI 279677 157204 9168
SC 865941 1071645 26532
SD 145039 210610 8166
TN 960709 1462330 12537
TX 3308124 4569843 115884
UT 251813 740600 24634
VT 199239 92698 7353
VA 1971820 1822522 60147
WA 1755396 1290670 79450
WV 238269 417655 10708
WI 1620985 1410966 10100
WY 69286 170962 10453
