AREA DEM REP
AREA Clinton Trump
AZ 43.6 46.9
CA 60.0 31.5
CO 46.5 41.5
FL 47.7 46.4
GA 46.8 48.2
IA 44.1 48.0
IL 55.7 36.8
IN 39.6 53.9
KY 35.0 61.5
ME 51.2 40.2
MI 46.8 46.8
MN 45.7 45.8
MO 42.8 51.2
NC 48.6 46.5
NH 46.8 45.8
NJ 58.2 36.4
NM 47.4 37.8
NV 48.7 42.8
NY 55.8 39.8
OH 47.0 47.1
OR 50.7 38.8
PA 50.5 46.1
SC 42.8 50.3
TX 42.3 51.8
UT 33.2 39.3
VA 50.9 43.2
WA 51.3 35.8
WI 48.2 44.3
NATIONAL 47.9 44.7
