AREA DEM REP OTH
AREA DEM REP OTH
WI 1166281.3431756 1284171.6568244 0
WA 1459853.7496830001 1226424.250317 0
VT 154863.62965422 88704.97139694 13491.624654860001
UT 0 517414.64483072 84519.83934284799
SD 100976.79754280997 200154.48182688 0
SC 628898.4665872001 1039349.5334127999 0
PA 2348920.2433141 2393731.9312254 96989.01904613999
OR 942637.1295204 648835.8674415 57870.052518389995
OK 421498.23761919996 733040.799986 31449.033554079997
OK 436860.0028988 685343.2633839999 28790.710697319995
OH 1961649.7227518999 2226159.2772481 0
NY 3435780.6676102 2327785.0788528 0
NV 499126.8021656 501058.9710644 26035.17545895
NH 325435.52805312 302623.93640608 0
ND 60976.47311107 170376.12583278 0
NC 1558215.6794814 1717513.3977684 58323.82272861
MO 801421.0552918 1127685.2261746002 45731.777778740005
MD 1196479.849454 707990.150546 0
LA 121956.8812112 556393.6417570999 71408.7540831
KY 549260.4406894001 894521.5593106 0
KS 361706.35364006006 581283.28956412 0
IN 838520.1047145 1192749.786748 0
IL 2353362.9905196 1657245.4762271997 0
ID 157541.30249487 383092.75432802 39057.872161705
IA 544576.4637318 703561.5362682 0
HI 268238.26139163994 121433.91566598 18890.42294238
GA 1659027.4518166997 1701031.2715164998 0
FL 3215070.6794955004 3929860.408752 134097.9117525
CT 736918.0039862 525434.9960138 0
CO 1198974.1215048 1016995.9006704001 67174.11481344
CA 6484879.66 4115120.340000001 0
AZ 1192583.6124038 1140609.8776885 0
AR 296869.61978676 550698.74325342 0
AL 503728.67013000004 969408.89955 0
AK 54273.52859922 88862.79973526999 0
