AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 77670 115173 1520 0 0 0 0
AL-2 NA 120408 7453 0 0 0 0
AL-3 117514 NA 4796 0 0 0 0
AL-4 131880 NA 5269 0 0 0 0
AL-5 120142 64491 1990 0 0 0 0
AL-6 138920 68788 1318 0 0 0 0
AL-7 136074 63372 1520 0 0 0 0
AK-1 71881 120595 479 0 0 0 0
AZ-1 71388 184639 0 0 0 0 0
AZ-2 99895 36309 0 0 0 0 0
AZ-3 72417 174453 6460 0 0 0 0
AZ-4 NA 206248 30430 0 0 0 0
AZ-5 78115 164462 0 0 0 0 0
AR-1 1 NA 0 0 0 0 0
AR-2 168889 33475 0 0 0 0 0
AR-3 54767 161623 0 0 0 0 0
AR-4 129508 57658 0 0 0 0 0
CA-1 159815 72189 22150 0 0 0 0
CA-2 91088 139010 6253 0 0 0 0
CA-3 183470 74296 0 0 0 0 0
CA-4 181184 NA 1306 0 0 0 0
CA-5 133530 33692 7536 0 0 0 0
CA-6 176645 64174 0 0 0 0 0
CA-7 170006 78478 0 0 0 0 0
CA-8 163221 76531 5444 0 0 0 0
CA-9 152866 56656 0 0 0 0 0
CA-10 142500 NA 22801 0 0 0 0
CA-11 145484 50050 9482 0 0 0 0
CA-12 121523 136384 6023 0 0 0 0
CA-13 143980 63959 6583 0 0 0 0
CA-14 103899 173876 0 0 0 0 0
CA-15 118710 47957 3526 0 0 0 0
CA-16 177452 48375 0 0 0 0 0
CA-17 51730 129568 0 0 0 0 0
CA-18 125715 54034 0 0 0 0 0
CA-19 112033 116026 2865 0 0 0 0
CA-20 62037 162779 4190 0 0 0 0
CA-21 75739 181413 5519 0 0 0 0
CA-22 61555 164699 10557 0 0 0 0
CA-23 147858 77184 7837 0 0 0 0
CA-24 112038 36835 6198 0 0 0 0
CA-25 85378 NA 14498 0 0 0 0
CA-26 126930 53518 0 0 0 0 0
CA-27 148814 65307 6214 0 0 0 0
CA-28 109801 28645 5891 0 0 0 0
CA-29 88169 14543 3724 0 0 0 0
CA-30 72253 43833 4558 0 0 0 0
CA-31 100919 36017 4091 0 0 0 0
CA-32 114666 50710 5973 0 0 0 0
CA-33 57586 151704 10093 0 0 0 0
CA-34 92087 50954 2686 0 0 0 0
CA-35 71186 181203 4879 0 0 0 0
CA-36 103493 81413 6742 0 0 0 0
CA-37 89666 174284 7292 0 0 0 0
CA-38 52399 87690 7280 0 0 0 0
CA-39 52162 169360 7837 0 0 0 0
CA-40 80782 181269 8325 0 0 0 0
CA-41 88192 187380 10189 0 0 0 0
CA-42 78778 153280 6563 0 0 0 0
CA-43 72499 202478 7552 0 0 0 0
CA-44 90796 55511 5782 0 0 0 0
CA-45 54012 166451 4440 0 0 0 0
CO-1 133922 57587 0 0 0 0 0
CO-2 147437 87578 0 0 0 0 0
CO-3 169284 47625 0 0 0 0 0
CO-4 57552 156202 0 0 0 0 0
CO-5 60116 181612 0 0 0 0 0
CO-6 77158 136487 2911 0 0 0 0
CT-1 176463 51985 0 0 0 0 0
CT-2 143326 81965 0 0 0 0 0
CT-3 147394 74275 0 0 0 0 0
CT-4 55751 147843 2379 0 0 0 0
CT-5 58612 163729 0 0 0 0 0
CT-6 78814 157020 1054 0 0 0 0
DE-1 158338 76179 0 0 0 0 0
FL-1 142449 70534 0 0 0 0 0
FL-2 134269 NA 352 0 0 0 0
FL-3 1 NA 0 0 0 0 0
