AREA DEM REP OTH
AREA DEM REP OTH
WY-1 80825.93790441 178337.96209559002 0
WV-3 77550.37130644 165067.02869356 0
WV-2 104217.42418857 170341.47581143002 0
WV-1 83653.93456053 175357.30431534 0
WI-8 149528.61028196 250539.58971804 0
WI-7 162358.86110493 237416.03889507003 0
WI-6 159966.0735894 240082.12641060003 0
WI-5 168354.02963106 264815.07036894 0
WI-4 254047.77989088 73395.34387203999 0
WI-3 213583.58092553998 179801.11907446 0
WI-2 312542.69193994 114549.20806006002 0
WI-1 158676.22983375 235758.67016625003 0
WA-9 238334.50583651997 66824.62467938999 0
WA-8 210856.73746175997 153200.86253824 0
WA-7 361259.8960254 56594.1039746 0
WA-6 244899.39135360002 133886.57076779997 0
WA-5 141353.79773845 215218.90226155 0
WA-4 89929.30242945 177002.19757055002 0
WA-3 170561.08396963 194791.01603037 0
WA-2 255208.12931922 109048.07068078 0
WA-1 241567.83437219998 142072.66562780002 0
WA-10 155259.3090023 0 0
VT-1 226450.7192465 97096.26507175001 0
VA-9 0 253917.07886532 0
VA-8 298846.61611334997 84989.88388665 0
VA-7 226701.42868296002 199172.27131704 0
VA-6 133864.41492342 234302.68746756 0
VA-5 201267.9036432 201734.0963568 0
VA-4 242762.0740146 146451.92598539998 0
VA-3 239172.21132816 104265.38867183999 0
VA-2 191178.42464925998 163121.52249047998 0
VA-1 175845.02277888 232461.52124832 0
VA-11 268937.14132635 102143.35867364999 0
VA-10 254391.04747127998 172529.75252872 0
UT-4 152162.27979664 148753.03994564002 26424.060617356
UT-3 93654.88489695 199368.51431054997 37287.1007925
UT-2 116400.88065564 183634.64186994 0
UT-1 108444.55129634001 213908.84870366004 0
TX-9 163804.86378768 38724.155070240005 7558.185343824
TX-8 66574.65201367 240762.49946854 0
TX-7 148318.97157324 133535.9683437 0
TX-6 134438.67564156002 168115.18604124003 0
TX-5 82204.44720783 171142.09710297 0
TX-4 63784.65212946 228407.19987769998 0
TX-36 65850.61694432 204720.01303711 10044.064406276
TX-35 158484.91513834 64646.22756298 7623.061913764001
TX-34 123657.86735559998 66010.94610346 6276.988500398001
TX-33 110308.79249268999 33642.00579223 5171.506188749
TX-32 164761.43951704 138441.30499003 9838.168014566001
TX-3 149483.0567665 188803.44597540997 0
TX-31 136545.65811354 178183.84230269998 0
TX-30 182876.58141636 51719.05199542 0
TX-29 110610.39164742001 36983.09291724001 0
TX-28 137784.12314676 65964.49018986 0
TX-27 85461.86216128 175543.98526452002 0
TX-26 108441.30858687 224523.5766867 0
TX-25 152430.92074590002 184856.33055009 0
TX-24 148254.48340007002 149788.66377759 12922.565260968002
TX-23 133101.1572096 120038.12923008 9943.921452816001
TX-22 157851.78448902 169768.40770963003 0
TX-2 117166.69532927999 182701.34191871996 0
TX-21 184074.85136430003 199100.31194820002 11621.844583439999
TX-20 163443.3482808 73716.79749520001 7907.8468719600005
TX-19 54679.09285032 194652.85027008 0
TX-18 168656.12813892 52446.58152167999 8137.699509016
TX-17 112950.67650121002 166278.98766787 0
TX-16 148008.32027852 60583.93584403999 0
TX-15 120015.59500119001 81944.61357402001 0
TX-14 111798.68982981998 185497.61017018 0
TX-13 42371.6972098 210977.01049264 0
TX-12 90728.69535698999 212861.48434933997 0
TX-1 82848.63199462001 206765.26800538003 0
TX-11 50073.201240999995 215206.88515725 0
TX-10 148131.80244436997 189211.69544244997 10432.781246602
TN-9 187382.84835308001 48314.020577040006 8717.73106988
TN-8 86938.40424068 221537.2225554 10866.95723679
TN-7 88706.94722448001 215071.25330496003 10780.208907312
TN-6 73220.7292696 232708.14387766 0
TN-5 256447.8 0 0
TN-4 100682.91406834999 198258.15603753994 0
TN-3 90379.62347125 203976.17462 10306.704955375
TN-2 98310.76132971 207576.87766682 0
TN-1 68552.3207094 208996.33803810002 0
SD-1 0 285181.09861434 0
SC-7 124621.99337654999 202654.10662345 0
SC-6 205115.54714813 74830.80672068 9562.711390097998
SC-5 133680.75634546002 198004.14365454004 0
SC-4 111583.4801688 200815.6380228 0
SC-3 87655.32930881 216818.37069118998 0
SC-2 135623.14832373 185436.50870645003 10513.039654093001
SC-1 187341.91808238 178010.38191762 0
RI-2 162062.8759827 89527.6240173 0
RI-1 176586.53214795998 0 34380.26785204
PA-9 115018.67798964 224715.62201035998 0
PA-8 187053.88661805997 152346.71338193998 0
PA-7 195845.50472335998 149878.06652047 0
PA-6 220252.07664225 142013.3848465 0
PA-5 258631.04319343 120261.85680657001 0
PA-4 236246.55804288 151487.91414378 0
PA-3 344820.07957707 31583.627951003997 0
PA-2 230496.7623651 63144.2376349 0
PA-18 247761.80077880004 108985.63347252001 11908.987868064001
PA-17 223166.37043203 181028.92956797 0
PA-16 148442.3034248 202034.3965752 0
PA-15 90782.18103749999 239780.3189625 0
PA-14 118681.96087374001 236378.23912625998 0
PA-13 90072.75040224 248904.48349548 0
PA-12 96635.03363959999 234266.06636039997 0
PA-1 185023.30199941003 212750.0980192 0
PA-11 123478.34316789999 232853.1568321 0
PA-10 186570.6038755 188155.6961245 0
OR-5 235652.53250967004 171050.16749033 0
OR-4 219978.20690378998 191770.0017021 0
OR-3 307529.52977439 91839.94464093 21434.196128420997
OR-2 151258.37510432 244564.32859870003 0
OR-1 273487.38802258996 134696.71197740998 0
OK-5 155568.6659329 155104.3340671 0
OK-4 91248.79272204 212011.63506374 0
OK-3 71490.83310902001 235178.96689098 0
OK-2 77686.24756152001 204044.6334056 0
OK-1 111627.82756224001 207872.47807487997 0
OH-9 222720.0579882 106011.20913867 0
OH-8 113904.13634925001 248113.36365075 0
OH-7 121833.32888046 223428.47201549998 0
OH-6 99004.84969984001 244815.95030016 0
OH-5 142313.6215676 241202.3784324 0
OH-4 115026.77739432 223644.88605624 12276.750587376
OH-3 238183.70754066 83482.93488801 0
OH-2 151273.08848043001 230264.01151957 0
