AREA DEM REP
AREA DEM REP
AL 46.2 53.4
AZ 52.1 47.4
CO 57.4 41.6
GA1 49.5 47.0
GA2 47.0 48.5
IA 48.2 50.3
KY 42.8 52.9
ME 45.8 47.4
MI 53.0 45.4
MN 52.0 46.0
MT 50.4 49.1
NC 48.9 48.1
NH 56.1 42.9
OR 59.1 37.4
SC 47.8 51.3
TX 45.5 53.1
VA 58.1 41.4
