AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 40450 71711 0 0 0 0 0
AL-2 49341 57924 0 0 0 0 0
AL-3 74895 NA 2 0 0 0 0
AL-4 87380 NA 1 0 0 0 0
AL-5 68985 NA 2251 0 0 0 0
AL-6 40771 65700 0 0 0 0 0
AL-7 77742 1841 3285 0 0 0 0
AK-1 55176 68811 200 0 0 0 0
AZ-1 33178 81108 0 0 0 0 0
AZ-2 67878 58697 2622 0 0 0 0
AZ-3 111850 NA 19813 0 0 0 0
AZ-4 48661 90768 4407 0 0 0 0
AR-1 1 NA 0 0 0 0 0
AR-2 62140 65285 0 0 0 0 0
AR-3 35748 130086 0 0 0 0 0
AR-4 1 NA 0 0 0 0 0
CA-1 125122 85690 0 0 0 0 0
CA-2 99712 114451 6097 0 0 0 0
CA-3 105537 91966 0 0 0 0 0
CA-4 87764 70733 0 0 0 0 0
CA-5 106046 52603 0 0 0 0 0
CA-6 81801 33515 4452 0 0 0 0
CA-7 109676 58332 4857 0 0 0 0
CA-8 94824 70481 0 0 0 0 0
CA-9 88179 41138 5562 0 0 0 0
CA-10 84488 41374 0 0 0 0 0
CA-11 92882 54621 5961 0 0 0 0
CA-12 34472 116982 8631 0 0 0 0
CA-13 100809 69306 5246 0 0 0 0
CA-14 76602 95962 7163 0 0 0 0
CA-15 75212 49914 0 0 0 0 0
CA-16 104550 65808 0 0 0 0 0
CA-17 67885 81296 0 0 0 0 0
CA-18 58900 85663 0 0 0 0 0
CA-19 41672 123192 6887 0 0 0 0
CA-20 65695 129714 0 0 0 0 0
CA-21 73869 44519 5750 0 0 0 0
CA-22 54442 99502 0 0 0 0 0
CA-23 117498 61496 0 0 0 0 0
CA-24 85075 44243 6453 0 0 0 0
CA-25 45881 22205 0 0 0 0 0
CA-26 NA 113059 0 0 0 0 0
CA-27 85880 89392 0 0 0 0 0
CA-28 97592 NA 0 0 0 0 0
CA-29 65214 11512 0 0 0 0 0
CA-30 66241 26511 0 0 0 0 0
CA-31 55667 26490 0 0 0 0 0
CA-32 74004 23242 6363 0 0 0 0
CA-33 62540 79533 0 0 0 0 0
