AREA DEM REP OTH
AREA DEM REP OTH
PA-14 0 238779.2 0
PA-13 0 229797 0
PA-12 180600.67970399998 141408.320296 0
PA-1 148477.70269527 205551.19730473 0
PA-11 102022.71932111999 188980.90977924 0
PA-10 129154.57247840002 170400.62752160002 0
OR-6 133958.24713153002 123857.16475205001 0
OR-5 150342.75281382 154018.64718618002 0
OR-4 158377.31643735 136614.44592399002 16222.946975101
OR-3 190682.44609218 78429.2418686 0
OR-2 82267.25495268 172765.14504731997 0
OR-1 188086.3564875 94103.14351249998 0
OK-5 78148.25412805 141228.06710323002 0
OK-4 63044.95507022999 162522.34492976998 0
OK-3 44838.387233149995 152838.11276684998 0
OK-2 46504.4318208 175119.54213888 0
OK-1 70751.56941776 143643.78440168 0
OH-9 153033.43766572 138621.26233428 0
OH-8 92944.90379853999 198806.42537659 0
OH-7 134710.49700576 188542.30299424 0
OH-6 83688.1418597 204521.3581403 0
OH-5 89616.67763004001 195016.52236995997 0
OH-4 78596.62489351998 201706.97510647998 0
OH-3 184820.67451648 83051.52548352 0
OH-2 69804.60042307 201188.29957693 0
OH-15 105612.29157701999 168631.90842298002 0
OH-14 110413.25628 196004.24372000003 0
OH-13 140283.65852718 155345.24147282 0
OH-12 88479.45576243 193921.64423756997 0
OH-1 145003.45719772 162772.14280228 0
OH-11 183551.15281944003 54792.52334619 0
OH-10 113731.28729837 177354.41270163 0
NY-9 139702.2151616 0 0
NY-8 128858.7499668 37713.2500332 0
NY-7 132734.16442096 31420.23557904 0
NY-6 112040.94176913 55305.75823086999 0
NY-5 134584.85695311998 30219.94304688 0
NY-4 148586.60688618 132853.59311381998 0
NY-3 150404.91010443997 141184.38989556 0
NY-26 159300.48758312 95422.81241688 0
NY-25 157259.2239093 125283.77609069999 0
NY-24 107576.491785 170398.508215 0
NY-23 108280.71148191 183738.38851808998 0
NY-22 134204.08715725 139823.01284275 0
NY-2 111573.89452196 142381.70547804 0
NY-21 103565.55520458 163762.34479542 0
NY-20 163532.9204304 118065.47956960002 0
NY-19 142120.73985497997 138810.36014502 0
NY-18 134968.1465242 124749.85347579999 0
NY-17 145859.03933328 136859.76066672 0
NY-16 153954.47105763998 61155.35045333999 0
NY-15 107931.65294143998 18767.54705856 0
NY-14 107378.66779016 33030.07387776 0
NY-13 132179.3 0 0
NY-12 188485.9120046 45365.607954240004 0
NY-1 147642.97376892 164327.92623108003 0
NY-11 92632.40136 120271.59864 0
NY-10 150526.28788301998 40910.287283879996 0
NV-4 113005.95549287999 100554.44450712 0
NV-3 130594.15300752001 126264.94699248 0
NV-2 94306.28648760001 160730.6797679 8424.0337445
NV-1 108931.8455136 107754.34883932 0
NM-3 88494.2432408 64944.256759200005 0
NM-2 64620.96726611999 71070.83273387999 0
NM-1 118637.45206542 91640.34793458 0
NJ-9 108565.3046978 70288.8522125 5818.832009319999
NJ-8 91465.7353047 34416.012981149994 6917.74905816
NJ-7 145647.02002792002 156511.67997208002 0
NJ-6 111929.3116875 81929.85227999999 6965.825991250001
NJ-5 147841.30369206 118581.86170489999 9322.631845582
NJ-4 82466.57410456 174845.85681000003 10665.98248436
NJ-3 144322.99927256 125713.80468768 9203.593247356002
NJ-2 94819.83386973 143418.57846399 7643.682748638001
NJ-12 131209.24277719998 72640.19205928 0
NJ-1 139172.00914284 93927.64597806 7132.223258229001
NJ-11 154319.34146976002 115863.02585244 0
NJ-10 117258.78628956 31661.04945312 6111.754955424
NH-2 170240.89416294 142286.50583706002 0
NH-1 163091.98519722 154958.91480278003 0
NE-3 35632.967230400005 155143.86120124 0
NE-2 92977.50847628 109723.09152372001 0
NE-1 81490.04301672001 130802.55698328001 0
ND-1 0 164635.74451106 0
NC-9 96172.0825824 141515.9174176 0
NC-8 79259.44988916 172868.35011083997 0
NC-7 105627.43847376 167942.16152624 0
NC-6 146769.86271758997 113245.72326315 0
NC-5 91846.6522875 177928.34771250002 0
NC-4 169268.8352184 96627.16478159999 0
NC-3 75264.2508254 162306.7491746 0
NC-2 185714.2443326 114193.4556674 0
NC-14 152539.94472541 111146.95527459001 0
NC-13 131884.87259808 143576.32740192002 0
NC-12 147827.88555964 86397.31444036 0
NC-1 143200.4411738 115007.25882619999 0
NC-11 122356.74937845 177845.78026249996 0
NC-10 77350.77996258001 186142.62003742 0
MT-2 78162.08743738 150763.52254294002 19648.49001968
MT-1 110910.14424672 136833.74937921 0
MS-4 46333.757389080005 123439.15388436001 0
MS-3 66317.3174841 143289.60347658998 0
MS-2 120417.99419792999 73751.30580207 0
MS-1 58334.09749826 145248.10250174 0
MO-8 46087.815375360005 185945.29232301 0
MO-7 58133.948848910004 177409.30621887 0
MO-6 66675.02091938 178376.88039146 0
MO-5 136347.80608099 88367.37339277 0
MO-4 60924.89494631001 177239.6804564 0
MO-3 83052.20797788001 189559.19202212003 0
MO-2 125244.79619176 181645.31881722 0
MO-1 163839.4066309 52299.396575579995 0
MN-8 116655.31259226 185460.88740774003 0
MN-7 81321.76334231 186262.41972899 0
MN-6 104736.30164558 195714.99835441998 0
MN-5 198895.14056412 71831.15943587999 0
MN-4 182792.26286925998 98492.33713074 0
MN-3 190294.72353512998 133749.57646486998 0
MN-2 159417.63896731002 144040.04461725 0
MN-1 115927.6397699 154834.41583364998 11544.452865645
MI-9 92528.96445488 213664.72627768 11107.512440452001
MI-8 152599.05305594002 135527.95575528 9250.888215001
MI-7 158548.19730023996 151499.06671855997 0
MI-6 200494.56478289998 120670.9352171 0
MI-5 89045.15463480001 178854.11942244004 9537.128717124
MI-4 111744.86441342998 168969.46233948 9421.964543001
MI-3 143053.45300032 138930.29137184002 11659.455627840001
MI-2 83413.28674403999 186822.38827889998 0
MI-13 135793.93487323998 61226.04547437999 8689.825823674
