AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
KS-1 43359 141297 0 0 0 0 0
KS-2 110737 46029 0 0 0 0 0
KS-3 NA 109266 0 0 0 0 0
KS-4 111164 61178 0 0 0 0 0
KS-5 47540 116800 0 0 0 0 0
KY-1 64315 NA 17 0 0 0 0
KY-2 57644 NA 8 0 0 0 0
KY-3 81943 29348 942 0 0 0 0
KY-4 53906 67626 1231 0 0 0 0
KY-5 NA 56760 4 0 0 0 0
KY-6 26315 75906 3 0 0 0 0
KY-7 90619 23209 0 0 0 0 0
LA-1 NA 1 0 0 0 0 0
LA-2 1 NA 0 0 0 0 0
LA-3 1 NA 0 0 0 0 0
LA-4 1 NA 0 0 0 0 0
LA-5 1 NA 0 0 0 0 0
LA-6 NA 1 0 0 0 0 0
LA-7 109205 NA 0 0 0 0 0
LA-8 96864 102276 0 0 0 0 0
ME-1 121848 100260 7109 0 0 0 0
ME-2 43614 148770 0 0 0 0 0
MD-1 88113 43764 0 0 0 0 0
MD-2 68200 96745 1 0 0 0 0
MD-3 100161 26452 0 0 0 0 0
MD-4 65071 64643 0 0 0 0 0
MD-5 82098 18102 0 0 0 0 0
MD-6 102975 39600 0 0 0 0 0
MD-7 79226 12170 2 0 0 0 0
MD-8 82825 92917 0 0 0 0 0
MA-1 32396 113653 0 0 0 0 0
MA-2 91033 47022 0 0 0 0 0
MA-3 120222 NA 0 0 0 0 0
MA-4 134387 NA 16857 0 0 0 0
MA-5 113690 NA 0 0 0 0 0
MA-6 131051 NA 0 0 0 0 0
MA-7 124183 NA 0 0 0 0 0
MA-8 104651 40259 0 0 0 0 0
MA-9 110026 NA 21292 0 0 0 0
MA-10 121578 49451 15687 0 0 0 0
MA-11 114926 NA 0 0 0 0 0
MI-1 94307 10407 1070 0 0 0 0
MI-2 55204 79567 7 0 0 0 0
MI-3 78720 51678 2 0 0 0 0
MI-4 41624 70331 1678 0 0 0 0
MI-5 40608 100577 1 0 0 0 0
MI-6 74927 57283 7 0 0 0 0
MI-7 101225 24848 1099 0 0 0 0
MI-8 97406 36695 0 0 0 0 0
MI-9 49702 89991 0 0 0 0 0
MI-10 74941 78475 8 0 0 0 0
MI-11 53180 91575 649 0 0 0 0
MI-12 87643 44442 4 0 0 0 0
MI-13 76435 12395 916 0 0 0 0
MI-14 92328 33831 508 0 0 0 0
MI-15 77950 25078 584 0 0 0 0
MI-16 101659 28971 6 0 0 0 0
MI-17 105031 30879 1480 0 0 0 0
MI-18 39144 110099 1 0 0 0 0
MN-1 125115 47750 12 0 0 0 0
MN-2 94048 100249 18 0 0 0 0
MN-3 54261 127434 34 0 0 0 0
MN-4 112662 41926 47 0 0 0 0
MN-5 105410 37583 2004 0 0 0 0
MN-6 110598 57460 19 0 0 0 0
MN-7 93903 94024 1337 0 0 0 0
MN-8 135718 51315 12 0 0 0 0
MS-1 59870 30267 0 0 0 0 0
MS-2 73119 68292 0 0 0 0 0
MS-3 80575 NA 0 0 0 0 0
MS-4 85819 34190 0 0 0 0 0
MS-5 16143 75288 0 0 0 0 0
MO-1 91044 46599 0 0 0 0 0
MO-2 93538 101010 0 0 0 0 0
MO-3 116403 52382 0 0 0 0 0
MO-4 129471 NA 0 0 0 0 0
MO-5 101030 39340 2204 0 0 0 0
MO-6 73155 95865 0 0 0 0 0
MO-7 56291 114210 0 0 0 0 0
MO-8 71532 79142 0 0 0 0 0
MO-9 95939 70972 0 0 0 0 0
MT-1 98501 61230 0 0 0 0 0
MT-2 73583 84548 0 0 0 0 0
NE-1 67137 121772 77 0 0 0 0
NE-2 70372 99569 326 0 0 0 0
NE-3 59182 136985 17 0 0 0 0
NV-1 61830 50342 2145 0 0 0 0
NV-2 59433 83479 0 0 0 0 0
NH-1 54787 70739 0 0 0 0 0
NH-2 29688 85479 0 0 0 0 0
NJ-1 93497 29173 931 0 0 0 0
NJ-2 83821 35167 3812 0 0 0 0
NJ-3 73743 51882 0 0 0 0 0
NJ-4 49290 78699 789 0 0 0 0
NJ-5 40449 85949 0 0 0 0 0
NJ-6 67460 28286 2023 0 0 0 0
NJ-7 24462 92254 0 0 0 0 0
NJ-8 57820 34269 0 0 0 0 0
NJ-9 89634 40226 0 0 0 0 0
NJ-10 46666 NA 1977 0 0 0 0
NJ-11 35280 75037 0 0 0 0 0
NJ-12 41967 72966 0 0 0 0 0
NJ-13 43920 82866 0 0 0 0 0
NJ-14 63057 23822 2350 0 0 0 0
NM-1 37138 90476 18 0 0 0 0
NM-2 45924 77787 0 0 0 0 0
NM-3 95760 38552 0 0 0 0 0
NY-1 67139 55413 8479 0 0 0 0
NY-2 69771 35132 3651 0 0 0 0
NY-3 83985 60367 4440 0 0 0 0
NY-4 43581 92214 6493 0 0 0 0
NY-5 49728 93473 0 0 0 0 0
NY-6 58317 27773 0 0 0 0 0
NY-7 62836 18384 0 0 0 0 0
NY-8 70605 NA 7679 0 0 0 0
NY-9 50738 18040 4348 0 0 0 0
NY-10 76318 NA 5472 0 0 0 0
NY-11 41689 4053 874 0 0 0 0
NY-12 42138 2752 0 0 0 0 0
NY-13 61089 10941 2106 0 0 0 0
NY-14 27950 64647 1375 0 0 0 0
NY-15 42147 58214 0 0 0 0 0
NY-16 61262 61262 2283 0 0 0 0
NY-17 95094 15587 581 0 0 0 0
NY-18 43343 2479 531 0 0 0 0
NY-19 87774 87774 9575 0 0 0 0
NY-20 66359 80220 2341 0 0 0 0
NY-21 28339 102070 2988 0 0 0 0
NY-22 36852 94244 4560 0 0 0 0
NY-23 140759 NA 5279 0 0 0 0
NY-24 49225 117285 0 0 0 0 0
NY-25 33864 104216 0 0 0 0 0
NY-26 NA 94840 0 0 0 0 0
NY-27 82491 83430 2105 0 0 0 0
NY-28 103908 48213 0 0 0 0 0
NY-29 34194 99704 7110 0 0 0 0
NY-30 86777 83402 0 0 0 0 0
NY-31 67574 92508 913 0 0 0 0
NY-32 99745 NA 9912 0 0 0 0
NY-33 109256 19147 0 0 0 0 0
NY-34 56898 85856 0 0 0 0 0
NC-1 91122 39912 0 0 0 0 0
NC-2 95320 32515 0 0 0 0 0
NC-3 71460 39408 0 0 0 0 0
NC-4 92216 73469 0 0 0 0 0
NC-5 86410 73261 0 0 0 0 0
NC-6 72250 72329 0 0 0 0 0
NC-7 70471 39289 0 0 0 0 0
NC-8 80959 58941 0 0 0 0 0
NC-9 76240 80352 0 0 0 0 0
NC-10 62035 83902 0 0 0 0 0
NC-11 91575 89069 0 0 0 0 0
ND-1 216258 66989 3114 0 0 0 0
OH-1 90477 56100 0 0 0 0 0
OH-2 43448 105061 0 0 0 0 0
OH-3 98311 35167 0 0 0 0 0
OH-4 26320 115751 11997 0 0 0 0
OH-5 54864 102016 0 0 0 0 0
OH-6 42155 106354 2829 0 0 0 0
OH-7 NA 119238 0 0 0 0 0
OH-8 46195 98475 0 0 0 0 0
OH-9 105646 30643 0 0 0 0 0
OH-10 44847 106870 0 0 0 0 0
OH-11 104740 35944 3884 0 0 0 0
OH-12 42727 117905 0 0 0 0 0
OH-13 88612 52452 0 0 0 0 0
OH-14 83257 71713 0 0 0 0 0
OH-15 55750 97745 0 0 0 0 0
OH-16 36639 118206 0 0 0 0 0
OH-17 112855 43334 0 0 0 0 0
OH-18 126526 NA 0 0 0 0 0
OH-19 97814 80743 0 0 0 0 0
OH-20 110976 19794 0 0 0 0 0
OH-21 99878 22594 0 0 0 0 0
OK-1 61663 78919 3455 0 0 0 0
OK-2 114543 41795 0 0 0 0 0
OK-3 114008 31913 0 0 0 0 0
OK-4 94984 29697 0 0 0 0 0
OK-5 45256 108774 0 0 0 0 0
OK-6 1 NA 0 0 0 0 0
OR-1 141585 87874 0 0 0 0 0
OR-2 75124 113566 0 0 0 0 0
OR-3 180067 29321 0 0 0 0 0
OR-4 105697 89795 0 0 0 0 0
OR-5 82290 125906 0 0 0 0 0
PA-1 88224 29811 0 0 0 0 0
PA-2 128399 NA 2096 0 0 0 0
PA-3 107804 66693 0 0 0 0 0
PA-4 86133 55165 1296 0 0 0 0
PA-5 45648 87593 0 0 0 0 0
PA-6 98142 43858 0 0 0 0 0
PA-7 69557 110118 0 0 0 0 0
PA-8 85731 70047 0 0 0 0 0
PA-9 120890 NA 0 0 0 0 0
PA-10 40248 118603 0 0 0 0 0
PA-11 112405 46785 0 0 0 0 0
PA-12 97135 46937 0 0 0 0 0
PA-13 71381 100701 0 0 0 0 0
PA-14 104726 NA 12133 0 0 0 0
PA-15 56972 74829 0 0 0 0 0
PA-16 34399 100784 0 0 0 0 0
PA-17 36157 101027 0 0 0 0 0
PA-18 104164 61164 0 0 0 0 0
PA-19 37223 100055 0 0 0 0 0
PA-20 NA 136638 2114 0 0 0 0
PA-21 26324 111148 0 0 0 0 0
PA-22 NA 131650 0 0 0 0 0
PA-23 63875 79595 0 0 0 0 0
RI-1 85077 62397 0 0 0 0 0
RI-2 44586 113603 0 0 0 0 0
SC-1 55262 59969 1 0 0 0 0
SC-2 63592 73455 5 0 0 0 0
SC-3 79109 36495 79 0 0 0 0
SC-4 67012 61648 1747 0 0 0 0
SC-5 95859 NA 290 0 0 0 0
SC-6 92398 29922 23 0 0 0 0
SD-1 171462 118261 0 0 0 0 0
TN-1 36278 80289 3 0 0 0 0
TN-2 30088 96396 2 0 0 0 0
TN-3 75034 64084 2 0 0 0 0
TN-4 86997 NA 8 0 0 0 0
TN-5 85126 58701 3320 0 0 0 0
TN-6 102180 30823 1 0 0 0 0
TN-7 35966 93902 10 0 0 0 0
TN-8 101699 24792 12 0 0 0 0
TN-9 83006 16221 289 0 0 0 0
TX-1 84445 NA 0 0 0 0 0
TX-2 78529 55986 3838 0 0 0 0
TX-3 NA 143381 9004 0 0 0 0
TX-4 97540 38578 0 0 0 0 0
TX-5 57410 39945 749 0 0 0 0
TX-6 68270 86190 0 0 0 0 0
TX-7 17635 129673 1087 0 0 0 0
TX-8 30617 66280 6 0 0 0 0
TX-9 73285 45834 0 0 0 0 0
TX-10 135863 52000 0 0 0 0 0
TX-11 84201 NA 0 0 0 0 0
TX-12 84831 38620 0 0 0 0 0
TX-13 45907 84980 0 0 0 0 0
TX-14 67852 74471 0 0 0 0 0
TX-15 70777 NA 0 0 0 0 0
TX-16 50590 26421 0 0 0 0 0
TX-17 97791 NA 0 0 0 0 0
TX-18 63335 NA 6884 0 0 0 0
TX-19 42129 68695 0 0 0 0 0
TX-20 55363 NA 0 0 0 0 0
TX-21 63779 100346 1442 0 0 0 0
TX-22 30079 76459 0 0 0 0 0
TX-23 68131 NA 7001 0 0 0 0
TX-24 69368 33819 4 0 0 0 0
TX-25 67435 NA 0 0 0 0 0
TX-26 47651 101735 0 0 0 0 0
TX-27 64165 NA 0 0 0 0 0
UT-1 77180 82151 0 0 0 0 0
UT-2 76921 60967 1502 0 0 0 0
UT-3 42582 86599 893 0 0 0 0
VT-1 NA 168403 20314 0 0 0 0
VA-1 63364 80713 9 0 0 0 0
VA-2 54491 46137 9541 0 0 0 0
VA-3 32961 74525 3693 0 0 0 0
VA-4 64699 NA 136 0 0 0 0
VA-5 73085 NA 16568 0 0 0 0
VA-6 88230 38051 29 0 0 0 0
VA-7 NA 58927 1049 0 0 0 0
VA-8 44965 72670 20 0 0 0 0
VA-9 59864 NA 602 0 0 0 0
VA-10 63292 95724 7 0 0 0 0
WA-1 92697 97969 0 0 0 0 0
WA-2 124840 48077 0 0 0 0 0
WA-3 114775 41275 0 0 0 0 0
WA-4 41709 107593 0 0 0 0 0
WA-5 121732 41179 0 0 0 0 0
WA-6 90063 36410 0 0 0 0 0
WA-7 124317 46831 0 0 0 0 0
WA-8 57545 107824 0 0 0 0 0
WV-1 90715 NA 0 0 0 0 0
WV-2 76355 33554 0 0 0 0 0
WV-3 73669 39820 0 0 0 0 0
WV-4 58217 23490 0 0 0 0 0
WI-1 106288 34495 2354 0 0 0 0
WI-2 106919 85156 443 0 0 0 0
WI-3 58445 104393 0 0 0 0 0
WI-4 120354 NA 0 0 0 0 0
WI-5 109506 NA 0 0 0 0 0
WI-6 NA 124328 4268 0 0 0 0
WI-7 106700 63408 1599 0 0 0 0
WI-8 57265 118162 0 0 0 0 0
WI-9 38636 138766 0 0 0 0 0
WY-1 48780 111007 0 0 0 0 0
