AREA DEM REP OTH
AREA Biden Trump OTH
AL 849624 1441170 32488
AK 153778 189951 15801
AZ 1672143 1661686 53497
AR 423932 760647 34490
CA 11110250 6006429 384202
CO 1804352 1364607 111021
CT 1080831 714717 28309
DE 296268 200603 7475
DC 317323 18586 8447
FL 5297045 5668731 101680
GA 2473633 2461854 64473
HI 366130 196864 11475
ID 287021 554119 26874
IL 3471915 2446891 114937
IN 1242416 1729519 61183
IA 759061 897672 34138
KS 570323 771406 30574
KY 772474 1326646 37648
LA 856034 1255776 36252
ME 435072 360737 23652
MD 1985023 976414 75593
MA 2382202 1167202 81998
MI 2804040 2649852 85410
MN 1717077 1484065 76029
MS 539398 756764 17597
MO 1253014 1718736 54212
MT 244786 343602 15286
NE 374583 556846 24954
NV 703486 669890 32000
NH 424921 365654 15607
NJ 2608335 1883274 57744
NM 501614 401894 20457
NY 5230985 3244798 142411
NC 2684292 2758773 81737
ND 114902 235595 11322
OH 2679165 3154834 88203
OK 503890 1020280 36529
OR 1340383 958448 75490
PA 3458229 3377674 79380
RI 307486 199922 9582
SC 1091541 1385103 37452
SD 150471 261043 11095
TN 1143711 1852475 57665
TX 5259126 5890347 165583
UT 560282 865140 62867
VT 242820 112704 11904
VA 2413568 1962430 84526
WA 2369612 1584651 133368
WV 235984 545382 13286
WI 1630866 1610184 56991
WY 73491 193559 9715
