AREA DEM REP OTH
AREA DEM REP OTH
WY-1 58204.8254464 123143.21237227999 11659.256391101
WV-2 59686.312300959995 132174.08769903998 0
WV-1 57699.450665640004 132005.18206008 0
WI-8 0 217272.52715703004 53861.372842970006
WI-7 113776.95676052998 204658.14323946997 0
WI-6 0 243400.8 0
WI-5 117111.59981784 235482.10018215998 0
WI-4 173247.97436487998 55313.369398680006 0
WI-3 138709.59091968 164983.20908032 0
WI-2 231593.41835738998 92273.69856897001 0
WI-1 121011.3314366 166464.25399868 0
WA-9 155307.03307212002 63802.166927880004 0
WA-8 157618.32590526 145416.27409474002 0
WA-7 258878.3252412 54333.1747588 0
WA-6 169436.39371101 117012.90628899 0
WA-5 109548.79182661 175949.90817339002 0
WA-4 63160.8355399 119244.94621951999 0
WA-3 123433.03304866001 141567.66695133998 0
WA-2 179429.21562852 112805.58437148001 0
WA-1 178698.9126337 98549.5873663 0
WA-10 138286.93494888 98581.36505112 0
VT-1 160894.8893162 79379.40711480001 0
VA-9 61758.429710309996 175660.67028969002 0
VA-8 173273.13209052 54678.504216600006 0
VA-7 127783.03086875999 121508.26913124001 0
VA-6 82121.45279104 164992.94720896002 0
VA-5 106821.47752098 164108.82247902 0
VA-4 158270.38875424 75226.38789607999 0
VA-3 134719.78731081 62494.89296772001 0
VA-2 124789.25410677999 122192.14589321999 0
VA-1 110370.1249077 174751.63436745 0
VA-11 176938.74743958 81944.15256042 0
VA-10 140418.37737452003 123830.52262548002 0
UT-4 80413.36915910001 141279.9270806 0
UT-3 88100.65118549998 148936.68502550002 27099.663789000002
UT-2 86173.20022895999 133871.15889693 21538.521547477998
UT-1 94491.33958703998 156940.06041296 0
TX-9 103521.23957253 33767.860427470005 0
TX-8 61166.07685580001 105933.37621388001 0
TX-7 108932.67456425999 59748.225435739994 0
TX-6 0 117226.4 0
TX-5 53792.14595472001 113103.26625059999 0
TX-4 57408.16165077 128038.83110550001 0
TX-38 78797.39168199999 140763.8049379 0
TX-37 149281.8997754 54178.82977364 0
TX-36 48925.38728153 115980.51271846998 0
TX-35 91006.74110034 45736.55889966 0
TX-34 48328.740850356 42292.366970958 0
TX-33 70314.91080360199 24886.186309444 0
TX-32 100406.96808175002 55180.14747696001 0
TX-3 76554.20125776 125555.58051632 0
TX-31 0 151364.4 0
TX-30 105279.73793008001 38365.195745799996 6185.173815625
TX-29 62466.40770539401 27129.162294606 0
TX-28 69216.2833842 53925.716615800004 0
TX-27 42469.08101331 86825.61898669001 0
TX-26 0 147100.8739948 0
TX-25 0 142958.5 0
TX-24 84521.93899556999 160895.36100443 0
TX-23 61466.953747470005 87710.07495471001 0
TX-22 62276.22396225 124779.2667003 0
TX-2 57606.191176500004 127742.79028860001 0
TX-21 81829.75530487999 160531.04469511998 0
TX-20 96606.22115967999 50927.07884031999 0
TX-19 0 103125.369452 0
TX-18 94058.54721158002 33823.65236352001 4592.489826924
TX-17 50683.83568912 102023.76431088001 0
TX-16 71947.5766625 33489.923337500004 0
TX-15 48922.863251129995 52140.8526408 0
TX-14 47008.81927926 111768.98072074 0
TX-13 38612.77319636 109827.32680364 0
TX-12 64927.91502504 129407.28497496001 0
TX-1 44196.64276637999 114156.25723362001 0
TX-11 0 110779.4 0
TX-10 60040.23087444001 114654.09752605 0
TN-9 118756.06972612001 41294.155252280005 6598.986687044001
TN-8 59339.52972806 165319.05201220003 8380.129911675
TN-7 70399.9755874 125199.73444596 0
TN-6 65067.602963 148139.89703700002 0
TN-5 101747.30552493001 113517.13223383 7021.651126935
TN-4 46171.48731384 137783.25663336 9118.067637167998
TN-3 62310.74466323 154229.75386819002 7933.383510668
TN-2 69334.2782048 161156.09874616002 0
TN-1 39441.807794069995 160720.27145624996 7873.212428267999
SD-1 0 222564.52218000003 0
SC-7 93062.37183147 147884.72816853 0
SC-6 136143.95389364002 69128.24610636 0
