AREA DEM REP OTH
AREA DEM REP OTH
WY-1 81615.45480937 177548.41927423998 0
WV-3 78294.64870441999 164322.75129557998 0
WV-2 105618.05896103001 168940.84103897001 0
WV-1 84489.6947781 174521.54409777 0
WI-8 151327.11687506002 248741.08312494 0
WI-7 167824.78342517998 231950.11657482001 0
WI-6 164029.84321464 236018.35678536003 0
WI-5 171210.47662719002 261958.62337281 0
WI-4 255064.43719987996 72378.65270268 0
WI-3 209728.17483472 183656.52516527998 0
WI-2 313820.2946496 113271.6053504 0
WI-1 163157.04974123999 231277.85025876004 0
WA-9 239249.37281831997 65909.72718167999 0
WA-8 214444.45229823998 149613.14770176 0
WA-7 362516.7172866 55337.282713399996 0
WA-6 245904.87879060005 132881.1212094 0
WA-5 144478.23036493 212094.46963507 0
WA-4 90777.530657 176153.96934299998 0
WA-3 172288.68790969 193063.41209031 0
WA-2 256294.01347703996 107962.18652296001 0
WA-1 242382.76352229997 141257.7364777 0
WA-10 155259.3090023 0 0
VT-1 227466.02525500004 96080.9247415 0
VA-9 0 253917.07886532 0
VA-8 300000.3134814 83836.1865186 0
VA-7 229187.16829512 196686.53170488 0
VA-6 135408.11908715998 232758.98330381996 0
VA-5 205222.76377020002 197779.23622979998 0
VA-4 243454.68032759998 145759.31967240002 0
VA-3 240196.27356384 103241.32643616 0
VA-2 192116.94490879998 162183.03853312 0
VA-1 189147.79630656 219158.74772064004 0
VA-11 270050.93944710004 101029.59766094999 0
VA-10 252945.15210584 173975.64789416 0
UT-4 151471.20085536002 149444.11888692 26424.060617356
UT-3 94717.92317909999 198305.47602839998 37287.1007925
UT-2 119514.62248542 180520.90004016002 0
UT-1 109469.76404970001 212883.63595030003 0
TX-9 164436.21784112 38092.80101680001 7558.185343824
TX-8 67527.7279507 239809.45529118003 0
TX-7 144592.76336856 137262.14760336 0
TX-6 136842.75523886003 165711.10644394002 0
TX-5 83021.99497128 170324.54933952 0
TX-4 64693.936600199995 227497.88503978 0
TX-36 66694.28503987001 203876.34494156003 10044.064406276
TX-35 159173.62412366 63957.51857766 7623.061913764001
TX-34 124177.86831964 65490.94513941999 6276.988500398001
TX-33 110755.92079701001 33194.877487909995 5171.506188749
TX-32 160270.71128609 142932.00191689 9838.168014566001
TX-3 148652.6050325 189633.86281648 0
TX-31 139260.64704682 175468.85336942 0
TX-30 183603.75321636003 50991.90443448 0
TX-29 111065.99046588002 36527.49409878 0
TX-28 138393.46766328003 65355.14567334 0
TX-27 86310.95252302001 174694.86800389 0
TX-26 109519.18355124 223445.73605940002 0
TX-25 156374.15989314002 180913.05668267998 0
TX-24 144673.86884742 153369.27833024002 12922.565260968002
TX-23 133650.39600624001 119488.86412512 9943.921452816001
TX-22 158307.36649285 169312.85963609003 0
TX-2 114629.767296 185238.30083327997 0
TX-21 184318.63851179997 198856.5248007 11621.844583439999
TX-20 164166.02930599998 72994.1409768 7907.8468719600005
TX-19 55453.18325432 193878.75986607998 0
TX-18 169343.41378215997 51759.2729544 8137.699509016
TX-17 117244.45711853002 161985.23596334003 0
TX-16 148648.99327459998 59943.262847959995 0
TX-15 118898.59138673 83061.61718848 0
TX-14 113199.22296949002 184097.07703050997 0
TX-13 43162.24926244 210186.45844000002 0
TX-12 91679.33917117999 211910.80922173997 0
TX-1 83720.86217725 205893.03782275002 0
TX-11 50902.65186825001 214377.43453000003 0
TX-10 143343.37490256 194000.12298425997 10432.781246602
TN-9 188117.68084798 47579.188082140005 8717.73106988
TN-8 87899.30612407999 220576.35260625998 10866.95723679
TN-7 89657.47979760001 214120.72073184003 10780.208907312
TN-6 74169.08792491 231759.78522234998 0
TN-5 256447.8 0 0
TN-4 101634.83221308001 197306.26778691998 0
TN-3 91309.60575249999 203046.19233875 10306.704955375
TN-2 99293.13419032002 206594.50480621 0
TN-1 69419.1506871 208129.50806039997 0
SD-1 0 285181.09861434 0
SC-7 126341.3383679 200934.76163209998 0
SC-6 205985.02982815998 73961.35299156 9562.711390097998
SC-5 137584.42227054003 194100.47772946 0
SC-4 112789.35230839999 199609.7658832 0
SC-3 88573.43930379 215900.26069621 0
SC-2 141275.1697252 179784.48730498002 10513.039654093001
SC-1 185198.98070195998 180153.31929804 0
RI-2 162715.17467205002 88875.32532794999 0
RI-1 176586.53214795998 0 34380.26785204
PA-9 116107.79820858 223626.50179141999 0
PA-8 185014.055072 154386.544928 0
PA-7 194758.32133539004 150965.28543847 0
PA-6 220018.34437939 142247.11710936 0
PA-5 259752.79351317 119140.10648683 0
PA-4 236093.28678999 151641.18539667 0
PA-3 345959.15245401004 30444.540017915995 0
PA-2 231380.1225854 62260.8774146 0
PA-18 248857.77939036 107889.65486096 11908.987868064001
PA-17 219140.78734168 185054.51265832 0
PA-16 154084.59277043 196392.10722957 0
PA-15 91771.85210625001 238790.64789375 0
PA-14 119804.27065992 235255.92934007998 0
PA-13 91091.27519508 247885.92480492004 0
PA-12 97631.74084291 233269.35915708996 0
PA-1 186773.35048785002 211000.04953076 0
PA-11 124663.53737004999 231667.9269968 0
PA-10 185774.91005008 188951.38994992 0
OR-5 229767.78846229 176934.91153771002 0
