AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 NA 82185 345 0 0 0 0
AL-2 83243 87649 19 0 0 0 0
AL-3 101923 36317 2 0 0 0 0
AL-4 129872 NA 340 0 0 0 0
AL-5 113047 55326 10 0 0 0 0
AL-6 134412 NA 10385 0 0 0 0
AL-7 127490 53258 46 0 0 0 0
AK-1 91677 99003 967 0 0 0 0
AZ-1 NA 166223 793 0 0 0 0
AZ-2 76549 39586 44 0 0 0 0
AZ-3 103018 134279 0 0 0 0 0
AZ-4 89395 141843 0 0 0 0 0
AZ-5 75642 138975 0 0 0 0 0
AR-1 101026 56071 0 0 0 0 0
AR-2 103471 67800 0 0 0 0 0
AR-3 54332 129876 0 0 0 0 0
AR-4 110365 42130 0 0 0 0 0
CA-1 96468 99782 34011 0 0 0 0
CA-2 65333 133315 10753 0 0 0 0
CA-3 132143 76148 10797 0 0 0 0
CA-4 115090 82738 12626 0 0 0 0
CA-5 120633 35671 0 0 0 0 0
CA-6 137306 64402 0 0 0 0 0
CA-7 121080 79031 0 0 0 0 0
CA-8 119645 75544 0 0 0 0 0
CA-9 94739 67412 0 0 0 0 0
CA-10 81875 48747 15 0 0 0 0
CA-11 105029 45818 8518 0 0 0 0
CA-12 69270 125157 11271 0 0 0 0
CA-13 97286 59773 10587 0 0 0 0
CA-14 120742 128309 0 0 0 0 0
CA-15 97147 49634 0 0 0 0 0
CA-16 134236 39885 6881 0 0 0 0
CA-17 82611 68848 0 0 0 0 0
CA-18 98804 NA 0 0 0 0 0
CA-19 76991 94599 1655 0 0 0 0
CA-20 65101 112962 10862 0 0 0 0
CA-21 68921 118326 15364 0 0 0 0
CA-22 61630 108634 10665 0 0 0 0
CA-23 103141 57118 6834 0 0 0 0
CA-24 71562 26607 5706 0 0 0 0
CA-25 48120 17021 3576 0 0 0 0
CA-26 78031 44492 5268 0 0 0 0
CA-27 90857 58140 7101 0 0 0 0
CA-28 69482 21245 4873 0 0 0 0
CA-29 51350 12054 1268 0 0 0 0
CA-30 45456 28914 3713 0 0 0 0
CA-31 56394 27593 0 0 0 0 0
CA-32 68268 42692 0 0 0 0 0
CA-33 49981 101336 7840 0 0 0 0
CA-34 55646 36024 0 0 0 0 0
CA-35 66100 121602 13020 0 0 0 0
CA-36 72409 64961 0 0 0 0 0
CA-37 103961 115469 12652 0 0 0 0
CA-38 43693 60561 0 0 0 0 0
CA-39 53670 113849 6709 0 0 0 0
CA-40 68087 142299 0 0 0 0 0
CA-41 93586 105723 15428 0 0 0 0
CA-42 67189 109353 7744 0 0 0 0
CA-43 NA 151206 70932 0 0 0 0
CA-44 48712 50377 9622 0 0 0 0
CA-45 NA 123591 46068 0 0 0 0
CO-1 82176 46802 0 0 0 0 0
CO-2 105248 68226 0 0 0 0 0
CO-3 124487 49961 2859 0 0 0 0
CO-4 75901 89285 0 0 0 0 0
CO-5 57776 127740 6761 0 0 0 0
CO-6 57961 105312 0 0 0 0 0
CT-1 126566 50690 0 0 0 0 0
CT-2 105085 70922 8 0 0 0 0
CT-3 90772 83440 0 0 0 0 0
CT-4 32352 105682 34 0 0 0 0
CT-5 85803 93912 1893 0 0 0 0
CT-6 48628 141105 0 0 0 0 0
DE-1 116274 58037 3124 0 0 0 0
FL-1 88416 80851 0 0 0 0 0
FL-2 103032 77939 0 0 0 0 0
FL-3 84280 31727 0 0 0 0 0
FL-4 95320 120895 13 0 0 0 0
FL-5 63253 94453 0 0 0 0 0
FL-6 95421 138588 20 0 0 0 0
FL-7 99464 47765 0 0 0 0 0
FL-8 NA 1 0 0 0 0 0
FL-9 102503 142163 0 0 0 0 0
FL-10 NA 1 0 0 0 0 0
FL-11 120991 111970 0 0 0 0 0
FL-12 NA 1 0 0 0 0 0
FL-13 NA 1 0 0 0 0 0
FL-14 156055 80249 0 0 0 0 0
FL-15 NA 104295 2374 0 0 0 0
FL-16 1 NA 0 0 0 0 0
FL-17 79569 22029 1 0 0 0 0
FL-18 36978 56364 1 0 0 0 0
FL-19 87696 53796 0 0 0 0 0
GA-1 80515 32532 0 0 0 0 0
GA-2 77910 28781 0 0 0 0 0
GA-3 72961 42561 0 0 0 0 0
GA-4 96526 87569 0 0 0 0 0
GA-5 86037 27781 0 0 0 0 0
GA-6 77794 78768 0 0 0 0 0
GA-7 95817 63588 0 0 0 0 0
GA-8 81344 36980 0 0 0 0 0
GA-9 96197 76121 0 0 0 0 0
GA-10 89683 64184 0 0 0 0 0
HI-1 97622 62982 2107 0 0 0 0
HI-2 118155 54625 5508 0 0 0 0
ID-1 85054 75406 0 0 0 0 0
ID-2 98008 56044 0 0 0 0 0
IL-1 100890 6708 0 0 0 0 0
IL-2 80245 22350 0 0 0 0 0
IL-3 110512 45299 0 0 0 0 0
IL-4 77290 53258 0 0 0 0 0
IL-5 73805 34440 3001 0 0 0 0
IL-6 48155 96410 0 0 0 0 0
IL-7 80021 20099 0 0 0 0 0
IL-8 70151 NA 18529 0 0 0 0
IL-9 96557 39031 0 0 0 0 0
IL-10 47286 104070 2243 0 0 0 0
IL-11 82703 68850 2692 0 0 0 0
IL-12 NA 113081 24450 0 0 0 0
IL-13 60305 116048 0 0 0 0 0
IL-14 55592 112383 0 0 0 0 0
IL-15 NA 119812 10 0 0 0 0
IL-16 83061 69105 0 0 0 0 0
IL-17 102062 51380 0 0 0 0 0
IL-18 NA 105693 1677 0 0 0 0
IL-19 113958 55680 2250 0 0 0 0
IL-20 130114 66433 0 0 0 0 0
IL-21 95208 48949 0 0 0 0 0
IL-22 138425 NA 26896 0 0 0 0
IN-1 68920 35450 0 0 0 0 0
IN-2 93495 63980 0 0 0 0 0
IN-3 80740 77911 0 0 0 0 0
IN-4 99347 64415 0 0 0 0 0
IN-5 81373 71750 0 0 0 0 0
IN-6 67024 116470 0 0 0 0 0
IN-7 65248 88598 0 0 0 0 0
IN-8 97465 80645 0 0 0 0 0
IN-9 107526 48325 0 0 0 0 0
IN-10 69362 35049 0 0 0 0 0
IA-1 NA 90042 0 0 0 0 0
IA-2 81008 82650 2325 0 0 0 0
IA-3 100947 NA 0 0 0 0 0
IA-4 127812 NA 0 0 0 0 0
IA-5 47022 99978 0 0 0 0 0
IA-6 44063 112333 0 0 0 0 0
KS-1 61396 102974 18 0 0 0 0
KS-2 99093 58643 9 0 0 0 0
KS-3 58923 88725 78 0 0 0 0
KS-4 112015 46283 18 0 0 0 0
KS-5 62244 90555 24 0 0 0 0
KY-1 85323 NA 12879 0 0 0 0
KY-2 77057 39624 0 0 0 0 0
KY-3 84750 55188 0 0 0 0 0
KY-4 44979 101680 0 0 0 0 0
KY-5 NA 64660 0 0 0 0 0
KY-6 NA 76859 0 0 0 0 0
KY-7 61330 59377 0 0 0 0 0
LA-1 NA 1 0 0 0 0 0
LA-2 55621 NA 0 0 0 0 0
LA-3 1 NA 0 0 0 0 0
LA-4 NA 1 0 0 0 0 0
LA-5 1 NA 0 0 0 0 0
LA-6 NA 1 0 0 0 0 0
LA-7 1 NA 0 0 0 0 0
LA-8 NA 1 0 0 0 0 0
ME-1 167623 110836 0 0 0 0 0
ME-2 116798 121704 0 0 0 0 0
MD-1 67518 88920 0 0 0 0 0
MD-2 39785 115398 0 0 0 0 0
MD-3 82545 35841 0 0 0 0 0
MD-4 85601 59846 0 0 0 0 0
MD-5 84747 20314 0 0 0 0 0
MD-6 106502 56479 0 0 0 0 0
MD-7 59628 10529 0 0 0 0 0
MD-8 39343 130059 7485 0 0 0 0
MA-1 43611 150748 0 0 0 0 0
MA-2 134152 NA 0 0 0 0 0
MA-3 150992 NA 0 0 0 0 0
MA-4 143473 75454 0 0 0 0 0
MA-5 110232 101017 0 0 0 0 0
MA-6 149284 80177 0 0 0 0 0
MA-7 155380 NA 0 0 0 0 0
MA-8 125479 39310 8806 0 0 0 0
MA-9 124534 NA 52660 0 0 0 0
MA-10 137805 120217 0 0 0 0 0
MA-11 145480 NA 0 0 0 0 0
MI-1 76556 7298 1902 0 0 0 0
MI-2 49678 95962 4126 0 0 0 0
MI-3 82376 60007 7 0 0 0 0
MI-4 55449 75850 3 0 0 0 0
MI-5 41170 126308 20 0 0 0 0
MI-6 97547 NA 244 0 0 0 0
MI-7 90307 41759 2 0 0 0 0
MI-8 98903 45259 3 0 0 0 0
MI-9 73604 89078 12 0 0 0 0
MI-10 50923 99952 2841 0 0 0 0
MI-11 59759 94555 2 0 0 0 0
MI-12 98232 51119 2474 0 0 0 0
MI-13 54345 11203 2276 0 0 0 0
MI-14 78506 40499 4416 0 0 0 0
MI-15 68742 41092 2501 0 0 0 0
MI-16 88962 42629 2023 0 0 0 0
MI-17 92205 40100 9 0 0 0 0
MI-18 64185 126629 20 0 0 0 0
MN-1 156749 43856 58 0 0 0 0
MN-2 77935 126367 102 0 0 0 0
MN-3 96395 195833 624 0 0 0 0
MN-4 143353 77639 404 0 0 0 0
MN-5 144682 53720 484 0 0 0 0
MN-6 164816 90138 265 0 0 0 0
MN-7 107126 92876 184 0 0 0 0
MN-8 151145 56068 99 0 0 0 0
MS-1 43668 23650 0 0 0 0 0
MS-2 59393 11224 0 0 0 0 0
MS-3 49162 NA 0 0 0 0 0
MS-4 57137 13754 0 0 0 0 0
MS-5 89926 20588 0 0 0 0 0
MO-1 62550 40160 0 0 0 0 0
MO-2 94308 94260 0 0 0 0 0
MO-3 88950 67659 0 0 0 0 0
MO-4 105527 65095 0 0 0 0 0
MO-5 71890 43897 0 0 0 0 0
MO-6 73093 78956 0 0 0 0 0
MO-7 76725 83609 0 0 0 0 0
MO-8 60751 81452 0 0 0 0 0
MO-9 94156 69514 0 0 0 0 0
MT-1 100409 63837 0 0 0 0 0
MT-2 56739 96449 0 0 0 0 0
NE-1 70587 129654 140 0 0 0 0
NE-2 111903 80845 673 0 0 0 0
NE-3 94234 98607 103 0 0 0 0
NV-1 84650 47377 5825 0 0 0 0
