AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
NV-2 59581 103508 12120 0 0 0 0
NH-1 66176 81684 508 0 0 0 0
NH-2 74866 67225 172 0 0 0 0
NJ-1 72415 57299 4080 0 0 0 0
NJ-2 97698 NA 13120 0 0 0 0
NJ-3 77866 73696 7081 0 0 0 0
NJ-4 54961 99920 4418 0 0 0 0
NJ-5 35010 118101 2998 0 0 0 0
NJ-6 63745 58147 4130 0 0 0 0
NJ-7 31099 100066 2907 0 0 0 0
NJ-8 55797 NA 16743 0 0 0 0
NJ-9 82535 69658 2573 0 0 0 0
NJ-10 42106 8954 643 0 0 0 0
NJ-11 47414 92681 3591 0 0 0 0
NJ-12 52256 107851 8283 0 0 0 0
NJ-13 67587 99688 4131 0 0 0 0
NJ-14 56455 24870 3951 0 0 0 0
NM-1 41306 97375 0 0 0 0 0
NM-2 NA 80677 0 0 0 0 0
NM-3 104225 35751 0 0 0 0 0
NY-1 75211 46380 11994 0 0 0 0
NY-2 56722 36859 8150 0 0 0 0
NY-3 73029 59089 4915 0 0 0 0
NY-4 41308 79304 9049 0 0 0 0
NY-5 53920 71948 6000 0 0 0 0
NY-6 44306 13224 3111 0 0 0 0
NY-7 51091 NA 0 0 0 0 0
NY-8 56396 21646 0 0 0 0 0
NY-9 35177 13330 6137 0 0 0 0
NY-10 61468 14963 0 0 0 0 0
NY-11 36286 NA 2770 0 0 0 0
NY-12 40570 NA 2180 0 0 0 0
NY-13 47446 11557 0 0 0 0 0
NY-14 34625 58616 4370 0 0 0 0
NY-15 33464 52919 3654 0 0 0 0
NY-16 55882 55882 1592 0 0 0 0
NY-17 79161 15219 4015 0 0 0 0
NY-18 38024 1189 1583 0 0 0 0
NY-19 45758 17135 0 0 0 0 0
NY-20 82203 35575 0 0 0 0 0
NY-21 34128 99866 5925 0 0 0 0
NY-22 37034 95495 6656 0 0 0 0
NY-23 117239 65760 0 0 0 0 0
NY-24 56671 121206 0 0 0 0 0
NY-25 NA 91348 17481 0 0 0 0
NY-26 NA 97340 0 0 0 0 0
NY-27 52438 95220 3097 0 0 0 0
NY-28 97815 53077 0 0 0 0 0
NY-29 34835 89105 17477 0 0 0 0
NY-30 97280 67534 0 0 0 0 0
NY-31 69328 90237 0 0 0 0 0
NY-32 68367 39053 0 0 0 0 0
NY-33 84905 18181 6460 0 0 0 0
NY-34 37421 89831 1807 0 0 0 0
NC-1 105832 57526 0 0 0 0 0
NC-2 130979 44263 0 0 0 0 0
NC-3 83930 57605 0 0 0 0 0
NC-4 139396 100661 0 0 0 0 0
NC-5 113814 78747 0 0 0 0 0
NC-6 62913 125392 0 0 0 0 0
NC-7 94946 49681 0 0 0 0 0
NC-8 98700 80852 0 0 0 0 0
NC-9 80802 131936 0 0 0 0 0
NC-10 65710 106400 0 0 0 0 0
NC-11 99318 101991 0 0 0 0 0
ND-1 152530 81443 0 0 0 0 0
OH-1 83932 80362 0 0 0 0 0
OH-2 57345 103817 0 0 0 0 0
OH-3 116797 NA 0 0 0 0 0
OH-4 64467 103897 0 0 0 0 0
OH-5 41693 113615 10612 0 0 0 0
OH-6 47415 117220 0 0 0 0 0
OH-7 59349 97123 0 0 0 0 0
OH-8 63584 99955 0 0 0 0 0
OH-9 117681 33791 0 0 0 0 0
OH-10 61656 106009 0 0 0 0 0
OH-11 111923 58372 10 0 0 0 0
OH-12 50784 130495 0 0 0 0 0
OH-13 93431 60925 10506 0 0 0 0
OH-14 97875 66460 0 0 0 0 0
OH-15 68510 99251 158 0 0 0 0
OH-16 70516 101097 0 0 0 0 0
OH-17 133207 38199 0 0 0 0 0
OH-18 120782 41823 0 0 0 0 0
OH-19 132951 72315 0 0 0 0 0
OH-20 109390 39749 0 0 0 0 0
OH-21 103338 25906 5 0 0 0 0
OK-1 59521 75618 0 0 0 0 0
OK-2 90820 57331 0 0 0 0 0
OK-3 107641 26261 0 0 0 0 0
OK-4 100879 36232 0 0 0 0 0
OK-5 50086 114608 0 0 0 0 0
OK-6 110100 27540 0 0 0 0 0
OR-1 150292 72382 15585 0 0 0 0
OR-2 60131 127998 0 0 0 0 0
OR-3 169731 40216 0 0 0 0 0
OR-4 162494 NA 26432 0 0 0 0
OR-5 124610 101650 0 0 0 0 0
PA-1 73423 19018 0 0 0 0 0
PA-2 94584 8118 0 0 0 0 0
PA-3 89908 59901 0 0 0 0 0
PA-4 74114 58469 0 0 0 0 0
PA-5 50597 75097 5795 0 0 0 0
PA-6 74394 56093 0 0 0 0 0
PA-7 56292 105868 0 0 0 0 0
PA-8 85015 65100 0 0 0 0 0
PA-9 106632 NA 0 0 0 0 0
PA-10 113490 NA 0 0 0 0 0
PA-11 88219 NA 0 0 0 0 0
PA-12 80686 50007 0 0 0 0 0
PA-13 58967 89577 0 0 0 0 0
PA-14 77636 30497 0 0 0 0 0
PA-15 50233 77178 0 0 0 0 0
PA-16 43849 85596 0 0 0 0 0
PA-17 110317 NA 0 0 0 0 0
PA-18 80880 85697 0 0 0 0 0
PA-19 NA 96336 0 0 0 0 0
PA-20 82080 43054 0 0 0 0 0
PA-21 NA 92732 0 0 0 0 0
PA-22 78375 45509 0 0 0 0 0
PA-23 53465 78189 0 0 0 0 0
RI-1 73131 89963 0 0 0 0 0
RI-2 108818 74953 0 0 0 0 0
SC-1 42555 80839 109 0 0 0 0
SC-2 NA 90054 11475 0 0 0 0
SC-3 72561 52419 70 0 0 0 0
SC-4 81927 51338 270 0 0 0 0
SC-5 91775 NA 123 0 0 0 0
SC-6 94121 NA 403 0 0 0 0
SD-1 173814 83484 0 0 0 0 0
TN-1 NA 47796 64 0 0 0 0
TN-2 NA 62797 15147 0 0 0 0
TN-3 49662 36855 7148 0 0 0 0
TN-4 52101 22890 2285 0 0 0 0
TN-5 55607 NA 21153 0 0 0 0
TN-6 60538 26424 3806 0 0 0 0
TN-7 40516 66141 19 0 0 0 0
TN-8 62241 NA 25 0 0 0 0
TN-9 48629 25730 9298 0 0 0 0
TX-1 89241 56954 0 0 0 0 0
TX-2 76974 61555 0 0 0 0 0
TX-3 NA 153857 617 0 0 0 0
TX-4 108300 NA 394 0 0 0 0
TX-5 65228 41307 2939 0 0 0 0
TX-6 62344 125049 737 0 0 0 0
TX-7 NA 114254 0 0 0 0 0
TX-8 NA 60603 0 0 0 0 0
TX-9 79786 58399 0 0 0 0 0
TX-10 152784 73766 8946 0 0 0 0
TX-11 73810 64269 0 0 0 0 0
TX-12 98026 39438 0 0 0 0 0
TX-13 81815 63045 0 0 0 0 0
TX-14 89251 75098 0 0 0 0 0
TX-15 72461 NA 0 0 0 0 0
TX-16 62455 NA 2854 0 0 0 0
TX-17 104100 NA 0 0 0 0 0
TX-18 54477 NA 243 0 0 0 0
TX-19 NA 83795 0 0 0 0 0
TX-20 56318 NA 0 0 0 0 0
TX-21 48585 144570 0 0 0 0 0
TX-22 37721 93425 0 0 0 0 0
TX-23 71052 40856 0 0 0 0 0
TX-24 86297 NA 0 0 0 0 0
TX-25 67427 NA 0 0 0 0 0
TX-26 62158 147856 0 0 0 0 0
TX-27 62822 NA 0 0 0 0 0
UT-1 69491 82746 6429 0 0 0 0
UT-2 85167 58869 3835 0 0 0 0
UT-3 79163 49452 7061 0 0 0 0
VT-1 6315 82938 120603 0 0 0 0
VA-1 69194 72000 99 0 0 0 0
VA-2 55179 NA 18439 0 0 0 0
VA-3 36253 77125 4776 0 0 0 0
VA-4 71051 NA 19680 0 0 0 0
VA-5 66532 NA 373 0 0 0 0
VA-6 92968 NA 19409 0 0 0 0
VA-7 58684 81688 248 0 0 0 0
VA-8 88475 76367 6279 0 0 0 0
VA-9 67215 NA 2015 0 0 0 0
VA-10 57249 103761 7815 0 0 0 0
WA-1 92447 100339 0 0 0 0 0
WA-2 92837 75669 15165 0 0 0 0
WA-3 95645 82269 0 0 0 0 0
WA-4 44241 106545 0 0 0 0 0
WA-5 110234 49965 0 0 0 0 0
WA-6 79079 49786 0 0 0 0 0
WA-7 106761 35511 5370 0 0 0 0
WA-8 75031 96323 0 0 0 0 0
WV-1 72849 35657 0 0 0 0 0
WV-2 63174 50708 0 0 0 0 0
WV-3 75327 NA 0 0 0 0 0
WV-4 39948 36946 0 0 0 0 0
WI-1 93961 NA 0 0 0 0 0
WI-2 85156 96938 0 0 0 0 0
WI-3 60409 94509 0 0 0 0 0
WI-4 96981 43001 0 0 0 0 0
WI-5 77557 31255 4968 0 0 0 0
WI-6 NA 111036 0 0 0 0 0
WI-7 100069 60961 0 0 0 0 0
WI-8 83199 95902 0 0 0 0 0
WI-9 NA 117967 0 0 0 0 0
WY-1 70977 87078 0 0 0 0 0
