AREA DEM REP OTH
AREA DEM REP OTH
WY 96104.91342122 171329.28657878 0
WV 306780.23082359997 477182.33663063997 0
VA 2414265.3815161004 1732081.3429612003 76466.19106644
TX 4699839.53 5375291.9 224868.87900000002
TN 1043812.9772017999 1628821.9910308002 106459.05955834
SD 165297.45179324 239447.14820676 0
SC 1142132.2779242 1250000.5682629999 0
RI 355157.92897128 125764.91912099998 0
OR 1195661.0878344 812186.2173048 80256.6948608
OK 636273.3853464 929325.5163738 45515.13050208001
NM 466831.09160384 395311.37720920006 0
NJ 2494819.3270245 1474469.3987919 98894.23350177
NH 448602.60463536 327056.43632256 0
NE 291344.56523634004 534036.8550345601 0
NC 2660060.9271438 2454157.8444298 113206.81023232
MT 283276.52053101 299413.17946898995 0
MS 638290.749789 732066.452208 0
MN 1641933.1272168001 1383225.2745168 85245.66047448
MI 2746761.1606095005 2351542.972071 125311.1807364
ME 428190.92610090005 394981.6738991 0
MA 2240550.959367 1081793.5940385 96140.2414854
LA 320228.697342 921116.6675344999 142444.56488664998
KY 939119.7326016 1164243.2053824 0
KS 608079.4224804001 667780.8270822 0
IL 3478604.35877 2098567.153231 296914.7817033
ID 263139.25629162 443540.90572131 48817.077547286004
IA 837784.4398392001 838409.6951201999 39183.81357926
GA-2 1485403.394826 989265.5626259999 831085.121295
GA 2291282.2859458 2263946.8802328 0
DE 292717.76750688 164259.33385008003 13869.331602288
CO 1550411.2214535 1279737.612139 128786.43271164998
AZ 1552188.764181 1377056.235819 0
AR 0 767737.2432512001 0
AL 1037800.304442 1305569.6955580001 0
AK 160272.04842299002 176434.46894941 17827.403899634002
