AREA DEM REP OTH
AREA Clinton Trump OTH
AL 729547 1318255 75570
AK 116454 163387 38767
AZ 1161167 1252401 159555
AR 380494 684872 65269
CA 8753788 4483810 943997
CO 1338870 1202484 238866
CT 897572 673215 74133
DE 235603 185127 20860
DC 282830 12723 17022
FL 4504975 4617886 297178
GA 1877963 2089104 147665
HI 266891 128847 41926
ID 189765 409055 91435
IL 3090729 2146015 299680
IN 1033126 1557286 144546
IA 653669 800983 110928
KS 427005 671018 86379
KY 628854 1202971 92324
LA 780154 1178638 70240
ME 357735 335593 76321
MD 1677928 943169 160012
MA 1995196 1090893 292732
MI 2268839 2279543 250902
MN 1367705 1322949 254128
MS 485131 700714 23512
MO 1071068 1594511 143026
MT 177709 279240 37577
NE 284494 495961 63772
NV 539260 512058 74067
NH 348526 345790 49980
NJ 2148278 1601933 123835
NM 385234 319667 93418
NY 4379789 2527142 895153
NC 2189316 2362631 189617
ND 93758 216794 33808
OH 2394164 2841005 62585
OK 420375 949136 83481
OR 1002106 782403 216827
PA 2926441 2970733 218228
RI 252525 180543 31076
SC 855373 1155389 92265
SD 117458 227721 24914
TN 870695 1522925 13789
TX 3877868 4685047 406311
UT 310674 515211 305432
VT 178573 95369 46525
VA 1981473 1769443 231836
WA 1742718 1221747 352554
WV 188794 489371 34886
WI 1382536 1405284 188330
WY 55973 174419 25172
