AREA DEM REP
AREA Biden Trump
AZ 50.4 45.0
CA 61.5 36.5
CO 57.0 39.1
FL 48.9 49.3
GA 50.2 47.4
IA 49.2 48.3
KY 40.8 58.2
ME 54.5 40.6
MI 54.1 44.9
MN 52.5 45.1
MT 43.8 51.8
NC 49.0 48.1
NH 53.8 43.7
NY 62.6 35.4
NV 50.1 43.9
OH 46.4 51.7
OR 56.5 39.0
PA 50.5 47.5
SC 46.0 52.2
TX 47.5 51.1
VA 55.1 43.9
WI 54.0 43.5
USA 53.2 44.8
